account_name,pe_firm_count,pe_firms,pe_firm_ids,any_multi_sector_sponsor,sources,company_url,wikipedia_url
Sheridan Holdings,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/sheridan-holdings-inc/,
Shields,1,"Welsh, Carson, Anderson & Stowe",wcas,yes,official_site,,
ShipStation Global,1,Thoma Bravo,thoma-bravo,no,official_site,,
SHL,1,Hg,hg,no,official_site,,
Shoppers Drug Mart,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Shoppers_Drug_Mart,https://en.wikipedia.org/wiki/Shoppers_Drug_Mart
Shoregroup,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/shoregroup,
ShowingTime,1,Accel-KKR,accel-kkr,no,official_site,,
Signant Health,1,Genstar Capital,genstar-capital,yes,official_site,,
Siigo,1,Accel-KKR,accel-kkr,no,official_site,,
Silae,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/silae/,
Silverfin,1,Hg,hg,no,official_site,,
Simeio,1,"Welsh, Carson, Anderson & Stowe",wcas,yes,official_site,,
Simon & Schuster,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Simon_%26_Schuster,https://en.wikipedia.org/wiki/Simon_%26_Schuster
SimonsVoss,1,Hg,hg,no,official_site,,
SimplePractice,1,Vista Equity Partners,vista-equity,no,official_site,https://www.vistaequitypartners.com/company/simplepractice/,
SimpliSafe,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/simplisafe/,
Simtra Biopharma Solutions,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/simtra-biopharma-solutions/,
Singletrack,1,Accel-KKR,accel-kkr,no,official_site,,
Singular Bank,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/singular-bank/,
Sirius,1,Thoma Bravo,thoma-bravo,no,official_site,,
SirsiDynix,1,Vista Equity Partners,vista-equity,no,official_site|wikipedia,https://www.vistaequitypartners.com/company/sirsidynix/,https://en.wikipedia.org/wiki/SirsiDynix
SIS,1,Accel-KKR,accel-kkr,no,official_site,,
SiTel,1,Hg,hg,no,official_site,,
SK DD Senior Housing,1,Warburg Pincus,warburg-pincus,yes,official_site,https://warburgpincus.com/investments/sk-dd-senior-housing/,
Sky Deutschland,1,Permira,permira,yes,wikipedia,https://en.wikipedia.org/wiki/Sky_Deutschland,https://en.wikipedia.org/wiki/Sky_Deutschland
Skydance Media,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Skydance_Media,https://en.wikipedia.org/wiki/Skydance_Media
Skype,1,Silver Lake,silver-lake,no,official_site|wikipedia,https://www.silverlake.com/portfolio/skype/,https://en.wikipedia.org/wiki/Skype
Skyscanner,1,Vitruvian Partners,vitruvian,no,public_reports,,https://en.wikipedia.org/wiki/Vitruvian_Partners
Slickdeals,1,Warburg Pincus,warburg-pincus,yes,wikipedia,https://en.wikipedia.org/wiki/Slickdeals,https://en.wikipedia.org/wiki/Slickdeals
SLV,1,Hg,hg,no,official_site,,
Smart Communications,1,Accel-KKR,accel-kkr,no,official_site,,
Smart Focus,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/smart-focus,
SMART Global Holdings,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/smart-global-holdings/,
Smart Metering Systems,1,KKR,kkr,yes,wikipedia,https://en.wikipedia.org/wiki/Smart_Metering_Systems,https://en.wikipedia.org/wiki/Smart_Metering_Systems
Smart Modular,1,Francisco Partners,francisco-partners,no,official_site,https://www.franciscopartners.com/investments/smart-modular,
SMART Storage Systems,1,Silver Lake,silver-lake,no,official_site,https://www.silverlake.com/portfolio/smart-storage-systems/,
Smartly,1,Providence Equity Partners,providence-equity,yes,official_site,,
Smartly.io,1,Providence Equity Partners,providence-equity,yes,geig_article,,
smartTrade Technologies,1,Hg,hg,no,official_site,,
Snap One,1,Hellman & Friedman,hellman-friedman,no,official_site,https://hf.com/portfolio/snapone/,
